frame_idx	x	y	vel_x	vel_y
84	39.88	49.28	-9.7	0.5
84	54.62	48.12	-7.1	1.4
84	59.37	37.31	0.3	6.4
84	58.83	26.38	0.2	4.7
85	14.56	50.4	-11.5	0.5
85	34.84	49.51	-10.7	0.4
85	51.04	48.79	-7.5	0.3
85	59.38	40.66	-0.6	6.3
85	58.95	28.87	0.3	5.6
86	8.86	50.65	-11.4	0.5
86	29.27	49.75	-11.7	0.5
86	47.1	48.97	-8.5	0.3
86	58.83	43.99	-3.6	6.6
86	59.09	31.69	0.3	6.2
86	58.67	23.09	0.2	3.1
87	3.18	50.9	-11.5	0.5
87	23.41	50.01	-11.8	0.5
87	42.67	49.16	-9.5	0.4
87	56.63	46.93	-6.2	4.1
87	59.25	34.92	0.3	6.6
87	58.76	24.83	0.1	4
88	17.51	50.27	-12	0.5
88	37.76	49.38	-10.4	0.4
88	53.25	48.38	-7.5	1.4
88	59.42	38.29	0.3	7.1
88	58.86	27.02	0.3	5
89	11.48	50.54	-12.1	0.5
89	32.4	49.61	-11.3	0.5
89	49.48	48.86	-7.9	0.4
89	59.28	41.67	-0.6	6.3
89	58.99	29.69	0.3	5.2
90	5.46	50.8	-12.1	0.6
90	26.59	49.87	-12.2	0.5
90	45.27	49.05	-9.1	0.4
90	58.35	44.88	-3.6	6.6
90	59.13	32.53	0.3	6.4
90	58.68	23.39	0.2	3.4
91	20.42	50.14	-12.5	0.6
91	40.56	49.25	-10	0.5
91	55.63	47.59	-6.9	4.6
91	59.3	35.87	0.3	7.2
91	58.78	25.24	0.2	4.2
92	14.12	50.42	-12.7	0.6
92	35.31	49.49	-11.2	0.4
92	51.47	48.72	-8.9	0.9
92	59.48	39.6	-0.7	7
92	58.89	27.56	0.3	5.2
93	7.8	50.7	-12.6	0.5
93	29.5	49.74	-12.2	0.6
93	46.8	48.98	-10	0.4
93	59.17	42.86	-1	6.8
93	59.02	30.31	0.3	5.8
93	58.63	22.28	0.1	3
94	1.47	50.98	-12.7	0.5
94	23.24	50.02	-13	0.6
94	41.58	49.21	-11.1	0.5
94	57.68	46.13	-5.6	4.7
94	59.18	33.41	0.3	6.6
94	58.71	23.94	0.2	3.9
95	16.72	50.31	-13.2	0.5
95	35.84	49.46	-12.2	0.6
95	54.61	48.13	-7.2	1.3
95	59.34	36.75	0.3	6.7
95	58.82	26.1	0.2	4.8
96	10.16	50.6	-13.2	0.5
96	29.6	49.74	-12.9	0.5
96	50.98	48.79	-7.6	0.4
96	59.42	40.24	-0.7	6.6
96	58.95	28.72	0.2	5.8
97	3.61	50.88	-13.2	0.6
97	23.22	50.02	-12.8	0.6
97	47.04	48.97	-8.4	0.3
97	59.08	43.51	-3.4	6.3
97	59.08	31.47	0.3	5.8
98	16.75	50.3	-13.5	0.6
98	42.63	49.16	-9.3	0.4
98	57.01	46.67	-6.9	4.6
98	59.23	34.58	0.4	6.9
99	9.81	50.61	-14.4	0.6
99	37.76	49.38	-10.4	0.4
99	53.13	48.4	-9.1	1.7
99	59.41	38.21	0.4	7.8
100	2.41	50.94	-15.3	0.6
100	32.33	49.62	-11.5	0.5
100	48.42	48.91	-10	0.4
100	59.28	41.67	-0.6	6.3
